ID,VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE,VL_SAIDA_TOTAL,QTD_TRANS_SAIDA,VL_SAIDA_MEDIO,TIPO_TRANS_PREF,VL_ENTRADA_TOTAL,QTD_TRANS_ENTRADA,VL_LIQUIDO_TRANS,QTD_TRANS_TOTAL,FATU_SALDO_RATIO,CLUSTER
CNPJ_03554,146067,-5748,2023-12-21,Produção cinematográfica,2025-04-30,0.0,0.0,0.0,0,234.0,1.0,234.0,1.0,25.41179540709812,0
CNPJ_09428,99875,-1778,2019-02-24,Comércio atacadista de tecidos,2025-01-31,76.0,1.0,76.0,PIX,0.0,0.0,-76.0,1.0,56.17266591676041,0
CNPJ_00200,2696516,266472,2020-11-02,Produção de ferro-gusa,2025-01-31,77445.0,9.0,8605.0,PIX,81333.0,7.0,3888.0,16.0,10.11932210513675,0
CNPJ_02448,10428400,-564300,1999-04-23,Cultivo de soja,2025-02-28,0.0,0.0,0.0,0,72.0,1.0,72.0,1.0,18.480241006556795,0
CNPJ_09490,1258668,124823,2017-08-20,Fabricação de automóveis,2025-04-30,0.0,0.0,0.0,0,16870.0,6.0,16870.0,6.0,10.083622409331614,0
CNPJ_02725,491405,62998,2015-08-19,Distribuição de energia elétrica,2025-05-31,28525574.0,324.0,88041.9,PIX,9919599.0,116.0,-18605975.0,440.0,7.800326994507762,2
CNPJ_00823,2521439,205176,2016-09-03,Comércio atacadista de alimentos,2025-02-28,62.0,1.0,62.0,PIX,80.0,1.0,18.0,2.0,12.289151752641637,0
CNPJ_09499,21399375,1683766,2004-10-17,Engenharia civil,2025-05-31,90783.0,3.0,30261.0,PIX,886594.0,58.0,795811.0,61.0,12.70923334952719,0
CNPJ_04145,32702123,1864001,1995-01-31,Telecomunicações sem fio,2025-01-31,1607.0,1.0,1607.0,SISTEMICO,0.0,0.0,-1607.0,1.0,17.544047991390563,0
CNPJ_06959,3501540,136024,2020-01-11,Montagem industrial,2025-04-30,2704.0,1.0,2704.0,PIX,0.0,0.0,-2704.0,1.0,25.74207492795389,0
CNPJ_03107,105946,-10322,2023-02-25,Produção de alumínio,2025-05-31,454055.0,14.0,32432.5,PIX,522.0,1.0,-453533.0,15.0,10.26409610540593,0
CNPJ_08696,1791546,-43065,2022-02-04,Obras de infraestrutura elétrica,2025-04-30,87.0,1.0,87.0,PIX,0.0,0.0,-87.0,1.0,41.60097526994079,0
CNPJ_06189,188761737,7673906,1996-09-16,Comércio varejista de combustíveis,2025-01-31,106071.0,5.0,21214.2,PIX,254757.0,19.0,148686.0,24.0,24.597869324956548,3
CNPJ_01415,64662,5389,2020-05-27,Obras de infraestrutura elétrica,2025-01-31,0.0,0.0,0.0,0,119.0,2.0,119.0,2.0,11.998886620894414,0
CNPJ_08472,83047735,1193778,2004-09-19,Comércio atacadista de alimentos,2025-02-28,0.0,0.0,0.0,0,450.0,4.0,450.0,4.0,69.56715151393307,3
CNPJ_09283,2492167,213049,2021-10-10,Educação superior,2025-03-31,0.0,0.0,0.0,0,3923.0,3.0,3923.0,3.0,11.697623551389588,0
CNPJ_05178,1282008,70345,2017-02-09,Comércio varejista de combustíveis,2025-02-28,83.0,1.0,83.0,BOLETO,549.0,2.0,466.0,3.0,18.22457886132632,0
CNPJ_04305,100063,2822,2019-03-29,Correios e entregas expressas,2025-04-30,4003.0,3.0,1334.33,BOLETO,11252.0,3.0,7249.0,6.0,35.45818568391212,0
CNPJ_02610,1458754,-71167,2018-09-28,Construção de barragens,2025-02-28,325.0,2.0,162.5,BOLETO,0.0,0.0,-325.0,2.0,20.497618278134528,0
CNPJ_02145,179691,3493,2023-07-21,Defesa nacional,2025-02-28,1507.0,1.0,1507.0,PIX,0.0,0.0,-1507.0,1.0,51.44317205840252,0
CNPJ_06114,9826505,205823,2002-03-25,Extração de petróleo e gás natural,2025-01-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.74250205273463,0
CNPJ_05909,154575739,13585148,2001-08-19,Obras de infraestrutura elétrica,2025-02-28,0.0,0.0,0.0,0,103.0,2.0,103.0,2.0,11.378288922579276,3
CNPJ_00822,798890,43886,2015-08-08,Cultivo de trigo,2025-01-31,3922069.0,121.0,32413.79,PIX,2459013.0,57.0,-1463056.0,178.0,18.203755183885523,0
CNPJ_05119,1401822,-80735,2019-06-09,Geração de energia elétrica,2025-02-28,14.0,1.0,14.0,PIX,0.0,0.0,-14.0,1.0,17.36325013934477,0
CNPJ_03467,571197,-43589,2018-02-15,Fabricação de caminhões e ônibus,2025-02-28,0.0,0.0,0.0,0,77.0,1.0,77.0,1.0,13.104154717933424,0
CNPJ_06498,146907,17731,2023-05-30,Saneamento básico,2025-03-31,15.0,1.0,15.0,BOLETO,0.0,0.0,-15.0,1.0,8.285319496926288,0
CNPJ_02112,74992,-3747,2023-01-13,Engenharia civil,2025-05-31,48934.0,12.0,4077.83,PIX,13174.0,4.0,-35760.0,16.0,20.013877768881773,0
CNPJ_00189,628093,2211,2017-02-18,Produção de alumínio,2025-04-30,3044.0,3.0,1014.67,PIX,5127.0,4.0,2083.0,7.0,284.0764360018092,0
CNPJ_07238,199496386,-16058934,2002-05-19,Planos de saúde,2025-04-30,145.0,2.0,72.5,PIX,0.0,0.0,-145.0,2.0,12.422766417746034,3
CNPJ_03110,169497,-3554,2019-02-03,Telecomunicações sem fio,2025-04-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.69189645469893,0
CNPJ_06481,1199888,14855,2018-07-05,Telecomunicações sem fio,2025-04-30,230.0,1.0,230.0,PIX,0.0,0.0,-230.0,1.0,80.77334230898687,0
CNPJ_04149,880503,-8006,2022-02-12,Construção de rodovias,2025-03-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,109.9803897077192,0
CNPJ_05504,235580,-29587,2021-09-14,Extração de petróleo e gás natural,2025-01-31,48.0,1.0,48.0,PIX,0.0,0.0,-48.0,1.0,7.962280731402305,0
CNPJ_03919,2937438,114054,2016-05-24,Defesa nacional,2025-01-31,102.0,1.0,102.0,PIX,305.0,4.0,203.0,5.0,25.754800357725287,0
CNPJ_08479,3774222,-86114,2007-08-17,Fabricação de produtos químicos,2025-04-30,0.0,0.0,0.0,0,93.0,1.0,93.0,1.0,43.828204473140254,0
CNPJ_01124,23052228,-2296877,2002-11-16,Obras de infraestrutura elétrica,2025-03-31,46.0,1.0,46.0,SISTEMICO,0.0,0.0,-46.0,1.0,10.036335424143305,0
CNPJ_09718,93096146,-6881910,1995-01-02,Produção de ferro-gusa,2025-05-31,0.0,0.0,0.0,0,13118.0,6.0,13118.0,6.0,13.52766107083644,3
CNPJ_02295,919555,21600,2018-12-24,Seguros de vida,2025-05-31,221.0,4.0,55.25,PIX,0.0,0.0,-221.0,4.0,42.57199074074074,0
CNPJ_07610,1711693,-202613,2014-05-15,Hotéis e pousadas,2025-05-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.448090695068924,0
CNPJ_01077,769536,-90388,2022-01-31,Fabricação de móveis,2025-02-28,23727174.0,284.0,83546.39,PIX,6371198.0,63.0,-17355976.0,347.0,8.513696508386069,2
CNPJ_01515,1662371,63572,2021-06-03,Extração de minério de ferro,2025-05-31,0.0,0.0,0.0,0,48.0,1.0,48.0,1.0,26.14942112879884,0
